             1             1
2.202             1
2.203             1
2.205             1
2.206             1
2.211             1
2.212             1
2.214             1
2.215             1
2.229             1
2.230             1
2.232             1
2.233             1
2.238             1
2.239             1
2.241             1
2.242             1
             3             1
             4             1
             5             1
             6             1
             7             1
             8             1
             9             1
            10             1
11.202             1
11.203             1
11.205             1
11.206             1
11.211             1
11.212             1
11.214             1
11.215             1
11.229             1
11.230             1
11.232             1
11.233             1
11.238             1
11.239             1
11.241             1
11.242             1
            12             1
            13             1
